SMILES,Molecular weight,Num chiral centers,ChiralCenterCount,Gram-negative,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
Nc1nc(N2CC(C(=O)[O-])C(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F,442.785,1,0,1,543,0.2777777777777778,441.773,4,22,1,21,20,0.1,1.3333333333333333,1.1,0.6666666666666666,3,1
O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O,331.35,0,0,1,544,0.4117647058823529,331.347,4,21,1,20,19,0.10526315789473684,1.3333333333333333,1.105263157894737,0.7916666666666666,3,0
[NH3+]C1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2Cl)C1,365.795,1,0,1,545,0.4117647058823529,365.7920000000001,4,20,1,19,18,0.1111111111111111,1.3333333333333333,1.1111111111111112,0.72,3,1
C[NH+]1CC2CC1CN2c1cc2c(cc1F)c(=O)c(C(=O)[O-])cn2C1CC1,357.388,2,2,1,546,0.47368421052631576,357.3850000000001,5,25,3,22,20,0.3,1.6666666666666667,1.25,0.7692307692307693,3,3
C[NH+]1CCN(c2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3-c2ccc(F)cc2)CC1,399.401,0,0,1,547,0.23809523809523808,399.39700000000005,4,24,1,23,22,0.09090909090909091,1.3333333333333333,1.0909090909090908,0.7586206896551724,3,0
COc1c(N2CCC(C3([NH3+])CC3)C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3F)c12,419.432,3,2,1,548,0.5238095238095238,419.4280000000002,5,23,1,22,21,0.09523809523809523,1.25,1.0952380952380953,0.7,4,3
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc21,320.326,0,0,1,549,0.4,320.324,3,18,1,17,16,0.125,1.5,1.125,0.6956521739130435,2,0
C[NH+]1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(CCF)c3c2F)CC1,369.347,0,0,1,550,0.4117647058823529,369.3430000000001,3,18,1,17,16,0.125,1.5,1.125,0.6153846153846154,2,0
CC1[NH2+]Cc2cc(-c3ccc4c(=O)c(C(=O)[O-])cn(C5CC5)c4c3OC(F)F)ccc21,426.424,1,1,1,551,0.30434782608695654,426.4190000000001,5,26,2,24,22,0.18181818181818182,1.6666666666666667,1.1818181818181819,0.7096774193548387,3,1
COc1c(N2CC[NH2+]C(C)C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,375.403,1,0,1,552,0.47368421052631576,375.40000000000015,4,21,1,20,19,0.10526315789473684,1.3333333333333333,1.105263157894737,0.7037037037037037,3,1
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)CC1C[NH3+],389.39,1,0,1,553,0.4444444444444444,389.38700000000017,4,20,1,19,18,0.1111111111111111,1.3333333333333333,1.1111111111111112,0.6428571428571429,3,1
Cc1c(F)c(N2CC[NH2+]C(C)C2)cc2c1c(=O)c(C(=O)[O-])cn2C1CC1,359.404,1,0,1,554,0.47368421052631576,359.4010000000001,4,21,1,20,19,0.10526315789473684,1.3333333333333333,1.105263157894737,0.7307692307692307,3,1
